"matchup","derivative","upsetting","upsetted","error"
"Fox vs Fox","-0.062517202384728646","0","0","0.36790571138188105"
"Fox vs Falco","-0.091833246667121241","0","0","0.19489752888747641"
"Fox vs Marth","-0.090719688625776229","0","0","0.38419888572285854"
"Fox vs Sheik","-0.095210673709904131","0","0","0.074867673181140959"
"Fox vs Puff","-0.10241762138444324","0","0","0.88589931235625519"
"Fox vs Samus","-0.078255466891524739","0","0","0.38993913995711388"
"Fox vs ICs","-0.1029484193735444","0","0","0.15105390927192672"
"Fox vs Falcon","-0.097065473529006116","0","0","0.32286278922473738"
"Fox vs Peach","-0.064864541490409336","0","0","0.24837824161234751"
"Falco vs Fox","-0.091833246667121241","0","0","0.19489752888747644"
"Falco vs Falco","-0.1026103486388131","0","0","0.42078498618194199"
"Falco vs Marth","-0.060965108633551229","0","0","0.42372406989130512"
"Falco vs Sheik","-0.10379653476430896","0","0","0.21401270554287771"
"Falco vs Puff","-0.052126411171714078","0","0","0.17097683828382521"
"Falco vs Samus","-0.059508310263406389","0","0","1.3580664491433665"
"Falco vs ICs","-0.080182138178300139","0","0","0.80884153353356858"
"Falco vs Falcon","-0.11244903512011184","0","0","0.40735068674159836"
"Falco vs Peach","-0.061214525141265748","0","0","1.1638530258711743"
"Marth vs Fox","-0.090719688625776326","0","0","0.38419888572285854"
"Marth vs Falco","-0.060965108633551285","0","0","0.42372406989130523"
"Marth vs Marth","-0.08513648720078533","0","0","0.72759759873140539"
"Marth vs Sheik","-0.10400028716248935","0","0","0.2682178635223989"
"Marth vs Puff","-0.10037893210827836","0","0","0.46557033126035802"
"Marth vs Samus","-0.10071213118969505","0","0","0.69500920379155673"
"Marth vs ICs","-0.041415885207608555","0","0","1.344273100462295"
"Marth vs Falcon","-0.08819142881133768","0","0","0.45353778235524911"
"Marth vs Peach","-0.077095153912979511","0","0","0.72575123112670203"
"Sheik vs Fox","-0.095210673709904103","0","0","0.074867673181140973"
"Sheik vs Falco","-0.10379653476430892","0","0","0.21401270554287771"
"Sheik vs Marth","-0.10400028716248927","0","0","0.2682178635223989"
"Sheik vs Sheik","-0.075483507243053125","0","0","0.74186241065627045"
"Sheik vs Puff","-0.0625560422530963","0","0","0.8967225762405624"
"Sheik vs Samus","-0.12669630272607993","0","0","0.46029091396355348"
"Sheik vs ICs","-0.048728423968370488","0","0","1.1319416034959167"
"Sheik vs Falcon","-0.10204095951543296","0","0","0.41920014833224067"
"Sheik vs Peach","-0.044511324861716772","0","0","2.2323010225315461"
"Puff vs Fox","-0.10241762138444317","0","0","0.88589931235625519"
"Puff vs Falco","-0.052126411171713877","0","0","0.17097683828382523"
"Puff vs Marth","-0.10037893210827838","0","0","0.46557033126035802"
"Puff vs Sheik","-0.062556042253096175","0","0","0.89672257624056229"
"Puff vs Puff","-0.064772511957398166","0","0","1.6390709837423181"
"Puff vs Samus","-0.12266382881313602","0","0","0.51446154413685452"
"Puff vs ICs","-0.17889749543110067","0","0","0.17574586718198915"
"Puff vs Falcon","-0.10305155529806524","0","0","0.46031900822467703"
"Puff vs Peach","-0.076014152839130919","0","0","0.1737829327027427"
"Samus vs Fox","-0.0782554668915246","0","0","0.38993913995711382"
"Samus vs Falco","-0.059508310263406319","0","0","1.3580664491433665"
"Samus vs Marth","-0.10071213118969501","0","0","0.69500920379155684"
"Samus vs Sheik","-0.12669630272608007","0","0","0.46029091396355359"
"Samus vs Puff","-0.12266382881313614","0","0","0.51446154413685441"
"Samus vs Samus","-0.035714285714285678","0","0","6.5943841295818956e-31"
"Samus vs ICs","-0.17955314783439549","0","0","0.14304473405366575"
"Samus vs Falcon","-0.12952427722373328","0","0","0.014556260703132869"
"Samus vs Peach","-0.19980465139937884","0","0","0.33398922961242888"
"ICs vs Fox","-0.10294841937354457","0","0","0.15105390927192672"
"ICs vs Falco","-0.080182138178300041","0","0","0.80884153353356869"
"ICs vs Marth","-0.041415885207608701","0","0","1.344273100462295"
"ICs vs Sheik","-0.048728423968370363","0","0","1.1319416034959169"
"ICs vs Puff","-0.17889749543110084","0","0","0.1757458671819892"
"ICs vs Samus","-0.17955314783439585","0","0","0.1430447340536658"
"ICs vs ICs","-0.1320086315518896","0","0","0.18372557286430352"
"ICs vs Falcon","-0.11395610347705887","0","0","0.79904639524305598"
"ICs vs Peach","-0.024752214116995293","0","0","0.97167773481191677"
"Falcon vs Fox","-0.097065473529006047","0","0","0.32286278922473738"
"Falcon vs Falco","-0.11244903512011171","0","0","0.40735068674159847"
"Falcon vs Marth","-0.088191428811337583","0","0","0.453537782355249"
"Falcon vs Sheik","-0.102040959515433","0","0","0.41920014833224056"
"Falcon vs Puff","-0.10305155529806524","0","0","0.46031900822467714"
"Falcon vs Samus","-0.12952427722373322","0","0","0.014556260703132866"
"Falcon vs ICs","-0.11395610347705885","0","0","0.79904639524305643"
"Falcon vs Falcon","-0.17846234225544569","0","0","0.33084157222088245"
"Falcon vs Peach","-0.10340678583849365","0","0","0.49032912345586066"
"Peach vs Fox","-0.064864541490409405","0","0","0.24837824161234753"
"Peach vs Falco","-0.061214525141265831","0","0","1.1638530258711746"
"Peach vs Marth","-0.077095153912979511","0","0","0.72575123112670237"
"Peach vs Sheik","-0.044511324861716717","0","0","2.2323010225315456"
"Peach vs Puff","-0.076014152839130836","0","0","0.17378293270274278"
"Peach vs Samus","-0.19980465139937875","0","0","0.33398922961242883"
"Peach vs ICs","-0.024752214116995224","0","0","0.97167773481191666"
"Peach vs Falcon","-0.10340678583849357","0","0","0.49032912345586072"
"Peach vs Peach","-0.079873182196543102","0","0","0.36061183519581264"
